Model,Cluster,Random,Simple,Stratified,Systematic
Decision Tree,0.9901960784313726,0.9,0.974025974025974,0.9901960784313726,0.75
KNN,0.9836601307189542,0.85,0.974025974025974,0.9836601307189542,0.5625
Logistic Regression,0.9215686274509803,0.7,0.8831168831168831,0.9215686274509803,0.6875
Random Forest,1.0,1.0,0.987012987012987,1.0,0.75
SVM,0.7352941176470589,0.45,0.6753246753246753,0.7352941176470589,0.8125
